product,tweet,sentiment,Date
Amazon Echo,This is a sample tweet about Amazon Echo,neutral,2016-07-07
Kindle,This is a sample tweet about Kindle,neutral,2016-07-07
Kindle,This is a sample tweet about Kindle,negative,2016-09-25
Fire Tablet,This is a sample tweet about Fire Tablet,neutral,2016-09-15
Fire Tablet,This is a sample tweet about Fire Tablet,negative,2016-08-20
Fire TV Stick,This is a sample tweet about Fire TV Stick,negative,2016-07-16
Amazon Echo,This is a sample tweet about Amazon Echo,negative,2016-09-02
Amazon Echo,This is a sample tweet about Amazon Echo,negative,2016-08-21
Amazon Echo,This is a sample tweet about Amazon Echo,negative,2016-09-18
Fire Tablet,This is a sample tweet about Fire Tablet,negative,2016-08-22
Echo Dot,This is a sample tweet about Echo Dot,neutral,2016-09-21
Fire Tablet,This is a sample tweet about Fire Tablet,neutral,2016-08-14
Amazon Echo,This is a sample tweet about Amazon Echo,neutral,2016-07-11
Fire TV Stick,This is a sample tweet about Fire TV Stick,negative,2016-09-02
Echo Dot,This is a sample tweet about Echo Dot,neutral,2016-08-11
Kindle,This is a sample tweet about Kindle,positive,2016-07-12
Fire TV Stick,This is a sample tweet about Fire TV Stick,positive,2016-07-23
Kindle,This is a sample tweet about Kindle,neutral,2016-09-17
Echo Dot,This is a sample tweet about Echo Dot,neutral,2016-08-26
Kindle,This is a sample tweet about Kindle,positive,2016-09-16
Fire Tablet,This is a sample tweet about Fire Tablet,positive,2016-09-06
Amazon Echo,This is a sample tweet about Amazon Echo,neutral,2016-09-16
Kindle,This is a sample tweet about Kindle,neutral,2016-09-04
Fire TV Stick,This is a sample tweet about Fire TV Stick,positive,2016-08-28
Kindle,This is a sample tweet about Kindle,positive,2016-08-20
Echo Dot,This is a sample tweet about Echo Dot,positive,2016-08-30
Amazon Echo,This is a sample tweet about Amazon Echo,neutral,2016-09-09
Fire TV Stick,This is a sample tweet about Fire TV Stick,negative,2016-08-27
Amazon Echo,This is a sample tweet about Amazon Echo,negative,2016-08-13
Kindle,This is a sample tweet about Kindle,neutral,2016-08-18
Amazon Echo,This is a sample tweet about Amazon Echo,positive,2016-07-14
Fire TV Stick,This is a sample tweet about Fire TV Stick,negative,2016-08-09
Kindle,This is a sample tweet about Kindle,positive,2016-09-21
Fire Tablet,This is a sample tweet about Fire Tablet,neutral,2016-08-15
Echo Dot,This is a sample tweet about Echo Dot,positive,2016-09-03
Echo Dot,This is a sample tweet about Echo Dot,neutral,2016-08-15
Amazon Echo,This is a sample tweet about Amazon Echo,positive,2016-09-27
Fire TV Stick,This is a sample tweet about Fire TV Stick,negative,2016-07-09
Echo Dot,This is a sample tweet about Echo Dot,positive,2016-07-22
Echo Dot,This is a sample tweet about Echo Dot,negative,2016-09-22
Amazon Echo,This is a sample tweet about Amazon Echo,neutral,2016-08-25
Amazon Echo,This is a sample tweet about Amazon Echo,neutral,2016-07-31
Fire Tablet,This is a sample tweet about Fire Tablet,positive,2016-08-20
Kindle,This is a sample tweet about Kindle,neutral,2016-07-21
Fire Tablet,This is a sample tweet about Fire Tablet,negative,2016-09-08
Kindle,This is a sample tweet about Kindle,neutral,2016-08-28
Fire TV Stick,This is a sample tweet about Fire TV Stick,neutral,2016-07-12
Fire TV Stick,This is a sample tweet about Fire TV Stick,neutral,2016-08-09
Fire Tablet,This is a sample tweet about Fire Tablet,positive,2016-09-24
Fire TV Stick,This is a sample tweet about Fire TV Stick,neutral,2016-07-19
Amazon Echo,This is a sample tweet about Amazon Echo,negative,2016-08-22
Amazon Echo,This is a sample tweet about Amazon Echo,neutral,2016-07-17
Kindle,This is a sample tweet about Kindle,neutral,2016-09-04
Amazon Echo,This is a sample tweet about Amazon Echo,positive,2016-07-24
Kindle,This is a sample tweet about Kindle,neutral,2016-07-04
Echo Dot,This is a sample tweet about Echo Dot,positive,2016-07-10
Amazon Echo,This is a sample tweet about Amazon Echo,negative,2016-07-02
Amazon Echo,This is a sample tweet about Amazon Echo,positive,2016-07-28
Echo Dot,This is a sample tweet about Echo Dot,positive,2016-09-01
Fire TV Stick,This is a sample tweet about Fire TV Stick,neutral,2016-08-21
Amazon Echo,This is a sample tweet about Amazon Echo,neutral,2016-08-29
Kindle,This is a sample tweet about Kindle,positive,2016-09-17
Echo Dot,This is a sample tweet about Echo Dot,negative,2016-09-08
Fire TV Stick,This is a sample tweet about Fire TV Stick,neutral,2016-09-08
Kindle,This is a sample tweet about Kindle,negative,2016-08-18
Fire TV Stick,This is a sample tweet about Fire TV Stick,neutral,2016-08-20
Echo Dot,This is a sample tweet about Echo Dot,negative,2016-08-22
Kindle,This is a sample tweet about Kindle,neutral,2016-07-08
Echo Dot,This is a sample tweet about Echo Dot,neutral,2016-07-22
Fire Tablet,This is a sample tweet about Fire Tablet,negative,2016-07-20
Amazon Echo,This is a sample tweet about Amazon Echo,neutral,2016-08-12
Fire TV Stick,This is a sample tweet about Fire TV Stick,neutral,2016-08-23
Echo Dot,This is a sample tweet about Echo Dot,positive,2016-09-15
Fire Tablet,This is a sample tweet about Fire Tablet,negative,2016-07-09
Fire TV Stick,This is a sample tweet about Fire TV Stick,neutral,2016-09-29
Kindle,This is a sample tweet about Kindle,neutral,2016-09-02
Kindle,This is a sample tweet about Kindle,neutral,2016-08-14
Amazon Echo,This is a sample tweet about Amazon Echo,neutral,2016-07-25
Amazon Echo,This is a sample tweet about Amazon Echo,neutral,2016-07-18
Fire TV Stick,This is a sample tweet about Fire TV Stick,negative,2016-08-28
Amazon Echo,This is a sample tweet about Amazon Echo,neutral,2016-08-30
Fire Tablet,This is a sample tweet about Fire Tablet,negative,2016-08-15
Echo Dot,This is a sample tweet about Echo Dot,neutral,2016-09-28
Kindle,This is a sample tweet about Kindle,positive,2016-09-11
Fire TV Stick,This is a sample tweet about Fire TV Stick,positive,2016-07-16
Fire TV Stick,This is a sample tweet about Fire TV Stick,negative,2016-09-14
Echo Dot,This is a sample tweet about Echo Dot,negative,2016-07-29
Fire Tablet,This is a sample tweet about Fire Tablet,negative,2016-07-19
Amazon Echo,This is a sample tweet about Amazon Echo,positive,2016-07-27
Fire Tablet,This is a sample tweet about Fire Tablet,neutral,2016-08-24
Fire TV Stick,This is a sample tweet about Fire TV Stick,positive,2016-07-23
Amazon Echo,This is a sample tweet about Amazon Echo,neutral,2016-08-24
Fire TV Stick,This is a sample tweet about Fire TV Stick,negative,2016-09-21
Echo Dot,This is a sample tweet about Echo Dot,negative,2016-08-09
Amazon Echo,This is a sample tweet about Amazon Echo,negative,2016-08-28
Fire Tablet,This is a sample tweet about Fire Tablet,negative,2016-08-31
Fire TV Stick,This is a sample tweet about Fire TV Stick,positive,2016-07-10
Fire Tablet,This is a sample tweet about Fire Tablet,neutral,2016-08-31
Echo Dot,This is a sample tweet about Echo Dot,negative,2016-07-05
Echo Dot,This is a sample tweet about Echo Dot,positive,2016-07-03
Amazon Echo,This is a sample tweet about Amazon Echo,neutral,2016-09-05
Fire TV Stick,This is a sample tweet about Fire TV Stick,negative,2016-09-10
Kindle,This is a sample tweet about Kindle,neutral,2016-07-21
Fire Tablet,This is a sample tweet about Fire Tablet,neutral,2016-09-03
Fire Tablet,This is a sample tweet about Fire Tablet,negative,2016-07-28
Amazon Echo,This is a sample tweet about Amazon Echo,negative,2016-09-18
Fire TV Stick,This is a sample tweet about Fire TV Stick,positive,2016-09-28
Fire TV Stick,This is a sample tweet about Fire TV Stick,negative,2016-09-03
Amazon Echo,This is a sample tweet about Amazon Echo,negative,2016-08-22
Echo Dot,This is a sample tweet about Echo Dot,neutral,2016-09-22
Fire TV Stick,This is a sample tweet about Fire TV Stick,negative,2016-08-28
Fire TV Stick,This is a sample tweet about Fire TV Stick,positive,2016-07-01
Amazon Echo,This is a sample tweet about Amazon Echo,negative,2016-09-03
Fire Tablet,This is a sample tweet about Fire Tablet,negative,2016-08-17
Fire TV Stick,This is a sample tweet about Fire TV Stick,neutral,2016-07-12
Amazon Echo,This is a sample tweet about Amazon Echo,positive,2016-08-26
Amazon Echo,This is a sample tweet about Amazon Echo,negative,2016-09-20
Echo Dot,This is a sample tweet about Echo Dot,positive,2016-09-11
Kindle,This is a sample tweet about Kindle,negative,2016-08-25
Fire TV Stick,This is a sample tweet about Fire TV Stick,negative,2016-09-20
Echo Dot,This is a sample tweet about Echo Dot,positive,2016-09-26
Fire Tablet,This is a sample tweet about Fire Tablet,positive,2016-07-28
Echo Dot,This is a sample tweet about Echo Dot,negative,2016-08-30
Echo Dot,This is a sample tweet about Echo Dot,positive,2016-09-21
Fire Tablet,This is a sample tweet about Fire Tablet,neutral,2016-07-21
Amazon Echo,This is a sample tweet about Amazon Echo,negative,2016-09-28
Echo Dot,This is a sample tweet about Echo Dot,neutral,2016-08-24
Kindle,This is a sample tweet about Kindle,negative,2016-09-14
Fire Tablet,This is a sample tweet about Fire Tablet,negative,2016-08-17
Fire TV Stick,This is a sample tweet about Fire TV Stick,negative,2016-07-28
Fire Tablet,This is a sample tweet about Fire Tablet,positive,2016-09-18
Echo Dot,This is a sample tweet about Echo Dot,neutral,2016-09-18
Kindle,This is a sample tweet about Kindle,negative,2016-09-13
Echo Dot,This is a sample tweet about Echo Dot,positive,2016-08-07
Fire TV Stick,This is a sample tweet about Fire TV Stick,neutral,2016-08-13
Fire TV Stick,This is a sample tweet about Fire TV Stick,neutral,2016-08-26
Fire TV Stick,This is a sample tweet about Fire TV Stick,negative,2016-07-20
Fire TV Stick,This is a sample tweet about Fire TV Stick,neutral,2016-09-20
Fire Tablet,This is a sample tweet about Fire Tablet,neutral,2016-08-03
Fire Tablet,This is a sample tweet about Fire Tablet,negative,2016-08-03
Fire TV Stick,This is a sample tweet about Fire TV Stick,positive,2016-09-19
Kindle,This is a sample tweet about Kindle,positive,2016-08-04
Echo Dot,This is a sample tweet about Echo Dot,positive,2016-09-25
Echo Dot,This is a sample tweet about Echo Dot,positive,2016-09-23
Kindle,This is a sample tweet about Kindle,negative,2016-09-27
Fire TV Stick,This is a sample tweet about Fire TV Stick,positive,2016-09-20
Kindle,This is a sample tweet about Kindle,negative,2016-08-31
Echo Dot,This is a sample tweet about Echo Dot,negative,2016-09-01
Echo Dot,This is a sample tweet about Echo Dot,negative,2016-08-18
Echo Dot,This is a sample tweet about Echo Dot,positive,2016-07-28
Kindle,This is a sample tweet about Kindle,neutral,2016-09-13
Fire TV Stick,This is a sample tweet about Fire TV Stick,negative,2016-08-06
Fire TV Stick,This is a sample tweet about Fire TV Stick,positive,2016-09-27
Amazon Echo,This is a sample tweet about Amazon Echo,neutral,2016-07-25
Fire Tablet,This is a sample tweet about Fire Tablet,negative,2016-09-01
Fire Tablet,This is a sample tweet about Fire Tablet,neutral,2016-07-02
Kindle,This is a sample tweet about Kindle,negative,2016-09-06
Fire TV Stick,This is a sample tweet about Fire TV Stick,negative,2016-09-15
Echo Dot,This is a sample tweet about Echo Dot,neutral,2016-07-08
Amazon Echo,This is a sample tweet about Amazon Echo,positive,2016-07-13
Kindle,This is a sample tweet about Kindle,negative,2016-08-23
Amazon Echo,This is a sample tweet about Amazon Echo,negative,2016-09-09
Echo Dot,This is a sample tweet about Echo Dot,positive,2016-07-05
Kindle,This is a sample tweet about Kindle,positive,2016-08-30
Fire Tablet,This is a sample tweet about Fire Tablet,negative,2016-08-22
Kindle,This is a sample tweet about Kindle,negative,2016-09-29
Fire TV Stick,This is a sample tweet about Fire TV Stick,positive,2016-09-24
Amazon Echo,This is a sample tweet about Amazon Echo,neutral,2016-07-03
Kindle,This is a sample tweet about Kindle,neutral,2016-08-25
Fire Tablet,This is a sample tweet about Fire Tablet,positive,2016-08-26
Kindle,This is a sample tweet about Kindle,negative,2016-08-23
Amazon Echo,This is a sample tweet about Amazon Echo,positive,2016-08-25
Fire TV Stick,This is a sample tweet about Fire TV Stick,negative,2016-07-18
Echo Dot,This is a sample tweet about Echo Dot,positive,2016-07-06
Fire TV Stick,This is a sample tweet about Fire TV Stick,negative,2016-09-11
Echo Dot,This is a sample tweet about Echo Dot,neutral,2016-08-23
Echo Dot,This is a sample tweet about Echo Dot,neutral,2016-09-11
Amazon Echo,This is a sample tweet about Amazon Echo,positive,2016-07-14
Amazon Echo,This is a sample tweet about Amazon Echo,negative,2016-09-24
Fire TV Stick,This is a sample tweet about Fire TV Stick,negative,2016-09-11
Fire Tablet,This is a sample tweet about Fire Tablet,neutral,2016-07-09
Echo Dot,This is a sample tweet about Echo Dot,neutral,2016-09-05
Kindle,This is a sample tweet about Kindle,positive,2016-07-16
Fire Tablet,This is a sample tweet about Fire Tablet,negative,2016-09-23
Kindle,This is a sample tweet about Kindle,negative,2016-07-06
Kindle,This is a sample tweet about Kindle,negative,2016-08-23
Amazon Echo,This is a sample tweet about Amazon Echo,neutral,2016-08-28
Fire Tablet,This is a sample tweet about Fire Tablet,positive,2016-09-24
Amazon Echo,This is a sample tweet about Amazon Echo,neutral,2016-09-05
Amazon Echo,This is a sample tweet about Amazon Echo,neutral,2016-09-28
Fire Tablet,This is a sample tweet about Fire Tablet,negative,2016-09-19
Echo Dot,This is a sample tweet about Echo Dot,neutral,2016-09-01
Fire Tablet,This is a sample tweet about Fire Tablet,neutral,2016-08-14
Kindle,This is a sample tweet about Kindle,positive,2016-08-25
Fire TV Stick,This is a sample tweet about Fire TV Stick,positive,2016-08-10
Fire Tablet,This is a sample tweet about Fire Tablet,negative,2016-08-26
Amazon Echo,This is a sample tweet about Amazon Echo,negative,2016-07-30
Echo Dot,This is a sample tweet about Echo Dot,negative,2016-07-23
Fire TV Stick,This is a sample tweet about Fire TV Stick,neutral,2016-09-20
Fire Tablet,This is a sample tweet about Fire Tablet,neutral,2016-08-16
Fire Tablet,This is a sample tweet about Fire Tablet,negative,2016-09-18
Fire TV Stick,This is a sample tweet about Fire TV Stick,positive,2016-09-14
Fire Tablet,This is a sample tweet about Fire Tablet,positive,2016-08-26
Echo Dot,This is a sample tweet about Echo Dot,negative,2016-09-07
Kindle,This is a sample tweet about Kindle,positive,2016-08-11
Fire Tablet,This is a sample tweet about Fire Tablet,negative,2016-07-15
Amazon Echo,This is a sample tweet about Amazon Echo,neutral,2016-09-22
Kindle,This is a sample tweet about Kindle,positive,2016-07-30
Amazon Echo,This is a sample tweet about Amazon Echo,negative,2016-07-03
Amazon Echo,This is a sample tweet about Amazon Echo,positive,2016-07-19
Echo Dot,This is a sample tweet about Echo Dot,positive,2016-08-23
Fire TV Stick,This is a sample tweet about Fire TV Stick,neutral,2016-09-22
Fire Tablet,This is a sample tweet about Fire Tablet,positive,2016-08-26
Fire Tablet,This is a sample tweet about Fire Tablet,neutral,2016-09-16
Fire Tablet,This is a sample tweet about Fire Tablet,negative,2016-09-08
Fire Tablet,This is a sample tweet about Fire Tablet,positive,2016-07-19
Kindle,This is a sample tweet about Kindle,positive,2016-09-03
Echo Dot,This is a sample tweet about Echo Dot,neutral,2016-08-10
Echo Dot,This is a sample tweet about Echo Dot,negative,2016-08-01
Echo Dot,This is a sample tweet about Echo Dot,negative,2016-08-28
Fire Tablet,This is a sample tweet about Fire Tablet,positive,2016-09-08
Echo Dot,This is a sample tweet about Echo Dot,positive,2016-09-03
Kindle,This is a sample tweet about Kindle,negative,2016-07-17
Kindle,This is a sample tweet about Kindle,negative,2016-09-15
Kindle,This is a sample tweet about Kindle,negative,2016-08-03
Kindle,This is a sample tweet about Kindle,positive,2016-08-20
Fire TV Stick,This is a sample tweet about Fire TV Stick,neutral,2016-07-24
Echo Dot,This is a sample tweet about Echo Dot,negative,2016-09-05
Fire Tablet,This is a sample tweet about Fire Tablet,positive,2016-08-22
Kindle,This is a sample tweet about Kindle,neutral,2016-07-11
Fire Tablet,This is a sample tweet about Fire Tablet,negative,2016-07-10
Amazon Echo,This is a sample tweet about Amazon Echo,positive,2016-08-06
Amazon Echo,This is a sample tweet about Amazon Echo,neutral,2016-08-15
Fire TV Stick,This is a sample tweet about Fire TV Stick,positive,2016-09-21
Echo Dot,This is a sample tweet about Echo Dot,negative,2016-07-22
Echo Dot,This is a sample tweet about Echo Dot,negative,2016-08-22
Echo Dot,This is a sample tweet about Echo Dot,positive,2016-07-18
Fire Tablet,This is a sample tweet about Fire Tablet,positive,2016-08-07
Kindle,This is a sample tweet about Kindle,neutral,2016-08-09
Kindle,This is a sample tweet about Kindle,positive,2016-08-27
Echo Dot,This is a sample tweet about Echo Dot,negative,2016-08-25
Amazon Echo,This is a sample tweet about Amazon Echo,neutral,2016-07-04
Kindle,This is a sample tweet about Kindle,neutral,2016-07-21
Amazon Echo,This is a sample tweet about Amazon Echo,negative,2016-09-15
Fire TV Stick,This is a sample tweet about Fire TV Stick,neutral,2016-07-24
Fire Tablet,This is a sample tweet about Fire Tablet,positive,2016-08-25
Echo Dot,This is a sample tweet about Echo Dot,positive,2016-09-07
Kindle,This is a sample tweet about Kindle,positive,2016-07-16
Amazon Echo,This is a sample tweet about Amazon Echo,neutral,2016-08-27
Kindle,This is a sample tweet about Kindle,negative,2016-09-08
Kindle,This is a sample tweet about Kindle,negative,2016-09-08
Echo Dot,This is a sample tweet about Echo Dot,positive,2016-08-19
Echo Dot,This is a sample tweet about Echo Dot,negative,2016-09-14
Amazon Echo,This is a sample tweet about Amazon Echo,negative,2016-07-01
Kindle,This is a sample tweet about Kindle,positive,2016-08-07
Echo Dot,This is a sample tweet about Echo Dot,positive,2016-07-13
Fire TV Stick,This is a sample tweet about Fire TV Stick,neutral,2016-09-07
Fire Tablet,This is a sample tweet about Fire Tablet,negative,2016-09-08
Amazon Echo,This is a sample tweet about Amazon Echo,negative,2016-08-10
Amazon Echo,This is a sample tweet about Amazon Echo,positive,2016-07-30
Kindle,This is a sample tweet about Kindle,neutral,2016-07-10
Fire TV Stick,This is a sample tweet about Fire TV Stick,negative,2016-08-20
Fire TV Stick,This is a sample tweet about Fire TV Stick,neutral,2016-07-01
Fire TV Stick,This is a sample tweet about Fire TV Stick,negative,2016-07-13
Amazon Echo,This is a sample tweet about Amazon Echo,negative,2016-07-06
Kindle,This is a sample tweet about Kindle,positive,2016-07-27
Kindle,This is a sample tweet about Kindle,negative,2016-08-28
Echo Dot,This is a sample tweet about Echo Dot,negative,2016-08-14
Amazon Echo,This is a sample tweet about Amazon Echo,positive,2016-08-04
Echo Dot,This is a sample tweet about Echo Dot,positive,2016-09-10
Echo Dot,This is a sample tweet about Echo Dot,positive,2016-08-10
Echo Dot,This is a sample tweet about Echo Dot,positive,2016-08-03
Kindle,This is a sample tweet about Kindle,positive,2016-09-05
Fire Tablet,This is a sample tweet about Fire Tablet,positive,2016-09-19
Fire Tablet,This is a sample tweet about Fire Tablet,negative,2016-08-05
Fire TV Stick,This is a sample tweet about Fire TV Stick,positive,2016-09-22
Fire TV Stick,This is a sample tweet about Fire TV Stick,positive,2016-09-13
Fire Tablet,This is a sample tweet about Fire Tablet,positive,2016-07-30
Fire TV Stick,This is a sample tweet about Fire TV Stick,negative,2016-07-19
Fire TV Stick,This is a sample tweet about Fire TV Stick,neutral,2016-08-25
Echo Dot,This is a sample tweet about Echo Dot,negative,2016-09-13
Fire TV Stick,This is a sample tweet about Fire TV Stick,positive,2016-07-03
Fire TV Stick,This is a sample tweet about Fire TV Stick,positive,2016-09-17
Fire TV Stick,This is a sample tweet about Fire TV Stick,negative,2016-09-14
Echo Dot,This is a sample tweet about Echo Dot,positive,2016-08-09
Fire Tablet,This is a sample tweet about Fire Tablet,neutral,2016-09-23
Echo Dot,This is a sample tweet about Echo Dot,negative,2016-08-21
Amazon Echo,This is a sample tweet about Amazon Echo,neutral,2016-09-08
Amazon Echo,This is a sample tweet about Amazon Echo,positive,2016-08-12
Fire TV Stick,This is a sample tweet about Fire TV Stick,positive,2016-07-06
Fire TV Stick,This is a sample tweet about Fire TV Stick,negative,2016-08-23
Amazon Echo,This is a sample tweet about Amazon Echo,negative,2016-07-31
Fire TV Stick,This is a sample tweet about Fire TV Stick,negative,2016-09-04
Fire Tablet,This is a sample tweet about Fire Tablet,positive,2016-08-08
Echo Dot,This is a sample tweet about Echo Dot,negative,2016-09-20
Echo Dot,This is a sample tweet about Echo Dot,positive,2016-09-11
Fire TV Stick,This is a sample tweet about Fire TV Stick,negative,2016-08-25
Amazon Echo,This is a sample tweet about Amazon Echo,negative,2016-07-22
Fire Tablet,This is a sample tweet about Fire Tablet,negative,2016-08-29
Amazon Echo,This is a sample tweet about Amazon Echo,neutral,2016-07-06
Echo Dot,This is a sample tweet about Echo Dot,neutral,2016-09-04
Echo Dot,This is a sample tweet about Echo Dot,neutral,2016-09-05
Amazon Echo,This is a sample tweet about Amazon Echo,negative,2016-09-27
Fire Tablet,This is a sample tweet about Fire Tablet,negative,2016-08-15
Amazon Echo,This is a sample tweet about Amazon Echo,neutral,2016-09-14
Fire Tablet,This is a sample tweet about Fire Tablet,positive,2016-07-09
Kindle,This is a sample tweet about Kindle,neutral,2016-08-31
Fire TV Stick,This is a sample tweet about Fire TV Stick,negative,2016-09-24
Echo Dot,This is a sample tweet about Echo Dot,positive,2016-09-12
Fire TV Stick,This is a sample tweet about Fire TV Stick,neutral,2016-08-07
Fire TV Stick,This is a sample tweet about Fire TV Stick,neutral,2016-09-03
Amazon Echo,This is a sample tweet about Amazon Echo,neutral,2016-08-01
Echo Dot,This is a sample tweet about Echo Dot,neutral,2016-07-23
Fire Tablet,This is a sample tweet about Fire Tablet,neutral,2016-08-25
Amazon Echo,This is a sample tweet about Amazon Echo,negative,2016-07-17
Echo Dot,This is a sample tweet about Echo Dot,negative,2016-07-15
Echo Dot,This is a sample tweet about Echo Dot,neutral,2016-09-15
Kindle,This is a sample tweet about Kindle,neutral,2016-09-19
Fire Tablet,This is a sample tweet about Fire Tablet,neutral,2016-08-02
Fire TV Stick,This is a sample tweet about Fire TV Stick,neutral,2016-07-26
Fire TV Stick,This is a sample tweet about Fire TV Stick,negative,2016-07-22
Fire TV Stick,This is a sample tweet about Fire TV Stick,negative,2016-08-06
Fire Tablet,This is a sample tweet about Fire Tablet,negative,2016-09-12
Fire TV Stick,This is a sample tweet about Fire TV Stick,neutral,2016-08-01
Echo Dot,This is a sample tweet about Echo Dot,positive,2016-07-23
Amazon Echo,This is a sample tweet about Amazon Echo,neutral,2016-07-27
Fire TV Stick,This is a sample tweet about Fire TV Stick,neutral,2016-09-20
Kindle,This is a sample tweet about Kindle,negative,2016-09-19
Amazon Echo,This is a sample tweet about Amazon Echo,neutral,2016-09-07
Fire Tablet,This is a sample tweet about Fire Tablet,positive,2016-07-28
Kindle,This is a sample tweet about Kindle,negative,2016-07-01
