product,content,date_time,sentiment
Samsung Galaxy,Battery life on the Samsung Galaxy could be better.,2016-08-16 22:48:51,negative
Xiaomi,I regret buying the Xiaomi. Not worth the money.,2016-09-18 15:19:17,neutral
Xiaomi,Just got my new Xiaomi! Loving it so far.,2016-07-17 23:56:41,positive
Google Pixel,The Google Pixel keeps crashing. Frustrated!,2016-08-22 02:16:24,negative
OnePlus,The OnePlus has exceeded my expectations!,2016-08-26 00:05:14,positive
iPhone,The display on the iPhone is so vibrant and clear.,2016-09-29 11:20:52,positive
Google Pixel,Why is my Google Pixel overheating?,2016-07-27 03:58:10,negative
Samsung Galaxy,Really happy with the performance of my new Samsung Galaxy.,2016-09-22 05:14:10,negative
iPhone,The iPhone is really sleek and fast.,2016-07-18 11:33:12,positive
OnePlus,Why is my OnePlus overheating?,2016-08-02 22:19:52,negative
iPhone,My iPhone is slower than expected.,2016-08-08 09:32:53,positive
Xiaomi,Not too impressed with the Xiaomi. Expected more.,2016-08-26 22:38:04,negative
OnePlus,My OnePlus is slower than expected.,2016-08-05 18:08:05,negative
OnePlus,Just got my new OnePlus! Loving it so far.,2016-08-08 06:41:13,positive
Xiaomi,The Xiaomi keeps crashing. Frustrated!,2016-07-26 17:28:45,negative
Google Pixel,The camera on the Google Pixel is disappointing.,2016-08-12 20:23:27,positive
OnePlus,I'm impressed with the build quality of the OnePlus.,2016-08-28 23:26:01,neutral
Samsung Galaxy,Touchscreen on my Samsung Galaxy is unresponsive at times.,2016-07-15 04:35:07,positive
Google Pixel,Just got my new Google Pixel! Loving it so far.,2016-09-17 16:49:58,negative
Google Pixel,Why is my Google Pixel overheating?,2016-07-03 22:30:19,positive
OnePlus,Experiencing connectivity issues with the OnePlus.,2016-09-11 08:05:40,neutral
Google Pixel,I'm impressed with the build quality of the Google Pixel.,2016-09-01 00:38:26,neutral
Google Pixel,Really happy with the performance of my new Google Pixel.,2016-08-27 07:26:36,negative
iPhone,My iPhone is slower than expected.,2016-07-04 18:42:24,positive
iPhone,Touchscreen on my iPhone is unresponsive at times.,2016-08-29 06:08:22,neutral
Samsung Galaxy,I'm impressed with the build quality of the Samsung Galaxy.,2016-08-28 19:57:41,negative
OnePlus,Having some issues with my OnePlus. Anyone else?,2016-09-15 00:50:48,neutral
Google Pixel,I regret buying the Google Pixel. Not worth the money.,2016-09-23 13:22:48,neutral
Google Pixel,The Google Pixel keeps crashing. Frustrated!,2016-09-17 15:32:18,positive
iPhone,Having some issues with my iPhone. Anyone else?,2016-07-04 06:58:25,neutral
iPhone,I regret buying the iPhone. Not worth the money.,2016-09-14 13:49:03,positive
Google Pixel,The Google Pixel is a great value for the price.,2016-09-07 10:47:59,positive
iPhone,I'm impressed with the build quality of the iPhone.,2016-07-25 17:14:16,neutral
Google Pixel,The Google Pixel is really sleek and fast.,2016-08-09 01:27:54,neutral
Xiaomi,Really happy with the performance of my new Xiaomi.,2016-08-13 01:04:34,positive
OnePlus,The OnePlus keeps crashing. Frustrated!,2016-08-09 02:22:16,negative
Xiaomi,My Xiaomi is slower than expected.,2016-08-20 22:18:08,negative
Google Pixel,The Google Pixel has exceeded my expectations!,2016-08-20 20:37:27,positive
Samsung Galaxy,The camera quality on the Samsung Galaxy is amazing.,2016-09-11 17:13:20,neutral
iPhone,The iPhone is really sleek and fast.,2016-07-19 08:07:49,positive
OnePlus,Experiencing connectivity issues with the OnePlus.,2016-09-05 15:26:42,neutral
Xiaomi,Really happy with the performance of my new Xiaomi.,2016-08-27 07:12:34,neutral
Google Pixel,Battery life on the Google Pixel could be better.,2016-09-29 21:12:23,neutral
Xiaomi,My Xiaomi is slower than expected.,2016-07-10 08:15:09,negative
Xiaomi,The Xiaomi has exceeded my expectations!,2016-07-20 06:52:39,negative
Samsung Galaxy,Experiencing connectivity issues with the Samsung Galaxy.,2016-07-20 17:55:26,negative
Google Pixel,The camera quality on the Google Pixel is amazing.,2016-07-29 08:59:14,neutral
OnePlus,The display on the OnePlus is so vibrant and clear.,2016-09-14 11:23:44,neutral
OnePlus,The OnePlus is really sleek and fast.,2016-08-24 04:13:55,positive
iPhone,I regret buying the iPhone. Not worth the money.,2016-08-28 05:33:52,positive
OnePlus,The OnePlus keeps crashing. Frustrated!,2016-07-20 19:26:53,neutral
Samsung Galaxy,Just got my new Samsung Galaxy! Loving it so far.,2016-08-06 19:47:26,positive
Google Pixel,Just got my new Google Pixel! Loving it so far.,2016-07-07 17:20:06,negative
Samsung Galaxy,The display on the Samsung Galaxy is so vibrant and clear.,2016-07-14 06:22:12,neutral
Google Pixel,Touchscreen on my Google Pixel is unresponsive at times.,2016-07-21 04:29:17,positive
OnePlus,The OnePlus keeps crashing. Frustrated!,2016-08-06 13:04:00,negative
iPhone,The iPhone is a great value for the price.,2016-07-30 14:20:53,negative
iPhone,Why is my iPhone overheating?,2016-08-19 01:22:13,negative
Google Pixel,Not too impressed with the Google Pixel. Expected more.,2016-08-24 04:49:49,negative
Samsung Galaxy,Just got my new Samsung Galaxy! Loving it so far.,2016-07-02 15:33:11,positive
Samsung Galaxy,The camera on the Samsung Galaxy is disappointing.,2016-08-06 19:52:53,positive
OnePlus,Battery life on the OnePlus could be better.,2016-07-07 09:32:37,negative
Google Pixel,I regret buying the Google Pixel. Not worth the money.,2016-07-08 23:07:26,negative
OnePlus,Really happy with the performance of my new OnePlus.,2016-08-31 18:42:53,negative
OnePlus,Touchscreen on my OnePlus is unresponsive at times.,2016-08-16 14:31:22,negative
iPhone,The iPhone has exceeded my expectations!,2016-08-06 18:37:22,negative
Xiaomi,The camera on the Xiaomi is disappointing.,2016-09-17 13:00:45,negative
Xiaomi,The display on the Xiaomi is so vibrant and clear.,2016-09-20 12:22:30,neutral
OnePlus,The OnePlus is really sleek and fast.,2016-09-07 11:34:46,positive
iPhone,The iPhone is really sleek and fast.,2016-09-25 21:54:08,positive
Xiaomi,I regret buying the Xiaomi. Not worth the money.,2016-07-01 07:13:03,negative
Google Pixel,The display on the Google Pixel is so vibrant and clear.,2016-08-17 03:09:39,neutral
iPhone,The iPhone keeps crashing. Frustrated!,2016-07-31 03:17:57,positive
Samsung Galaxy,I'm impressed with the build quality of the Samsung Galaxy.,2016-08-29 05:12:21,neutral
Samsung Galaxy,The Samsung Galaxy keeps crashing. Frustrated!,2016-08-14 19:16:39,positive
Xiaomi,Touchscreen on my Xiaomi is unresponsive at times.,2016-09-17 02:20:41,neutral
iPhone,Not too impressed with the iPhone. Expected more.,2016-09-27 03:23:20,neutral
Xiaomi,Not too impressed with the Xiaomi. Expected more.,2016-07-28 09:29:48,positive
Xiaomi,The Xiaomi keeps crashing. Frustrated!,2016-07-05 01:36:59,negative
Google Pixel,Experiencing connectivity issues with the Google Pixel.,2016-08-06 09:30:03,neutral
Google Pixel,I regret buying the Google Pixel. Not worth the money.,2016-07-20 16:53:14,neutral
OnePlus,My OnePlus runs all my apps smoothly.,2016-08-29 07:12:00,positive
Samsung Galaxy,Having some issues with my Samsung Galaxy. Anyone else?,2016-07-05 02:25:50,positive
Google Pixel,Just got my new Google Pixel! Loving it so far.,2016-07-31 14:27:52,negative
iPhone,Battery life on the iPhone is excellent.,2016-08-27 20:27:59,positive
Xiaomi,The Xiaomi has exceeded my expectations!,2016-09-06 22:32:40,positive
Google Pixel,Experiencing connectivity issues with the Google Pixel.,2016-08-12 22:28:49,positive
Google Pixel,My Google Pixel runs all my apps smoothly.,2016-09-19 09:22:50,negative
Google Pixel,My Google Pixel runs all my apps smoothly.,2016-07-24 16:19:51,negative
Samsung Galaxy,My Samsung Galaxy runs all my apps smoothly.,2016-07-18 11:24:42,neutral
Xiaomi,The display on the Xiaomi is so vibrant and clear.,2016-09-20 19:09:53,negative
Samsung Galaxy,Touchscreen on my Samsung Galaxy is unresponsive at times.,2016-07-18 21:36:19,neutral
Google Pixel,Why is my Google Pixel overheating?,2016-08-17 17:05:37,neutral
Xiaomi,Battery life on the Xiaomi is excellent.,2016-09-26 10:38:19,neutral
OnePlus,Battery life on the OnePlus could be better.,2016-08-20 23:16:33,neutral
Samsung Galaxy,Touchscreen on my Samsung Galaxy is unresponsive at times.,2016-09-26 15:55:59,neutral
OnePlus,My OnePlus runs all my apps smoothly.,2016-07-20 04:53:16,neutral
Google Pixel,The Google Pixel is really sleek and fast.,2016-07-22 01:09:22,negative
Google Pixel,I regret buying the Google Pixel. Not worth the money.,2016-08-23 08:41:47,positive
iPhone,My iPhone is slower than expected.,2016-09-09 19:01:18,neutral
Google Pixel,My Google Pixel is slower than expected.,2016-07-09 04:40:02,neutral
Samsung Galaxy,The camera quality on the Samsung Galaxy is amazing.,2016-08-07 04:37:53,neutral
Samsung Galaxy,The Samsung Galaxy is really sleek and fast.,2016-09-05 21:58:53,positive
OnePlus,Battery life on the OnePlus could be better.,2016-09-28 12:51:34,positive
Xiaomi,I regret buying the Xiaomi. Not worth the money.,2016-07-27 19:11:34,negative
Xiaomi,The camera quality on the Xiaomi is amazing.,2016-07-15 22:19:37,negative
Xiaomi,Just got my new Xiaomi! Loving it so far.,2016-08-20 11:21:32,negative
Xiaomi,The Xiaomi keeps crashing. Frustrated!,2016-08-11 08:58:10,positive
OnePlus,The OnePlus has exceeded my expectations!,2016-09-26 08:27:06,positive
Xiaomi,Really happy with the performance of my new Xiaomi.,2016-09-02 18:15:43,positive
Samsung Galaxy,The Samsung Galaxy is really sleek and fast.,2016-07-01 08:46:17,neutral
Google Pixel,My Google Pixel is slower than expected.,2016-08-21 09:14:09,negative
Xiaomi,The Xiaomi has exceeded my expectations!,2016-07-19 01:50:51,positive
Google Pixel,Why is my Google Pixel overheating?,2016-07-13 13:38:12,positive
iPhone,Battery life on the iPhone is excellent.,2016-07-18 02:56:50,positive
OnePlus,Why is my OnePlus overheating?,2016-08-06 07:09:34,positive
Samsung Galaxy,The Samsung Galaxy keeps crashing. Frustrated!,2016-08-30 15:19:19,negative
Samsung Galaxy,Having some issues with my Samsung Galaxy. Anyone else?,2016-07-31 19:04:42,positive
Google Pixel,The Google Pixel is a great value for the price.,2016-07-24 14:55:56,negative
Samsung Galaxy,The Samsung Galaxy is really sleek and fast.,2016-09-20 06:44:35,neutral
Samsung Galaxy,The Samsung Galaxy is really sleek and fast.,2016-09-29 22:14:46,neutral
iPhone,Battery life on the iPhone is excellent.,2016-07-01 06:07:46,positive
iPhone,The camera quality on the iPhone is amazing.,2016-08-13 21:48:18,positive
Samsung Galaxy,Battery life on the Samsung Galaxy is excellent.,2016-08-07 13:42:51,positive
Google Pixel,Battery life on the Google Pixel could be better.,2016-09-03 19:09:29,neutral
iPhone,The camera quality on the iPhone is amazing.,2016-08-29 01:36:50,neutral
Xiaomi,I'm impressed with the build quality of the Xiaomi.,2016-08-12 18:02:46,neutral
Xiaomi,Battery life on the Xiaomi is excellent.,2016-07-28 21:41:11,positive
iPhone,The iPhone is really sleek and fast.,2016-09-17 22:43:03,neutral
iPhone,Really happy with the performance of my new iPhone.,2016-07-31 10:45:26,neutral
iPhone,My iPhone is slower than expected.,2016-08-28 23:39:15,neutral
Google Pixel,I regret buying the Google Pixel. Not worth the money.,2016-08-16 14:47:22,neutral
Samsung Galaxy,The camera quality on the Samsung Galaxy is amazing.,2016-09-05 03:05:40,positive
Google Pixel,The Google Pixel is really sleek and fast.,2016-09-11 21:41:46,neutral
Google Pixel,Just got my new Google Pixel! Loving it so far.,2016-07-07 02:37:41,negative
Samsung Galaxy,The Samsung Galaxy has exceeded my expectations!,2016-09-28 06:12:53,positive
Xiaomi,I regret buying the Xiaomi. Not worth the money.,2016-07-15 10:59:56,neutral
Samsung Galaxy,I regret buying the Samsung Galaxy. Not worth the money.,2016-09-24 20:05:45,neutral
Google Pixel,The Google Pixel has exceeded my expectations!,2016-09-09 02:26:28,negative
Google Pixel,The Google Pixel is really sleek and fast.,2016-08-15 21:15:44,negative
Google Pixel,Battery life on the Google Pixel is excellent.,2016-07-06 22:17:19,neutral
iPhone,Experiencing connectivity issues with the iPhone.,2016-09-11 17:48:08,negative
Google Pixel,Not too impressed with the Google Pixel. Expected more.,2016-09-04 17:23:19,neutral
Xiaomi,My Xiaomi is slower than expected.,2016-07-31 01:08:04,positive
Xiaomi,The Xiaomi is really sleek and fast.,2016-07-14 17:51:33,negative
iPhone,Having some issues with my iPhone. Anyone else?,2016-09-19 11:23:23,positive
iPhone,The iPhone is really sleek and fast.,2016-07-26 01:59:11,negative
Xiaomi,I'm impressed with the build quality of the Xiaomi.,2016-09-06 01:41:08,positive
Google Pixel,Experiencing connectivity issues with the Google Pixel.,2016-07-05 20:22:23,neutral
Google Pixel,Experiencing connectivity issues with the Google Pixel.,2016-07-30 01:43:53,positive
Google Pixel,The Google Pixel is a great value for the price.,2016-08-09 08:13:52,neutral
Samsung Galaxy,The Samsung Galaxy is a great value for the price.,2016-09-12 03:16:09,neutral
iPhone,The display on the iPhone is so vibrant and clear.,2016-07-18 13:57:02,neutral
Samsung Galaxy,My Samsung Galaxy is slower than expected.,2016-07-02 13:05:09,negative
Xiaomi,I'm impressed with the build quality of the Xiaomi.,2016-07-07 13:51:29,negative
OnePlus,Touchscreen on my OnePlus is unresponsive at times.,2016-09-13 10:06:05,negative
OnePlus,The camera on the OnePlus is disappointing.,2016-08-05 22:30:22,positive
Xiaomi,The Xiaomi is a great value for the price.,2016-08-18 01:26:02,neutral
Xiaomi,Just got my new Xiaomi! Loving it so far.,2016-07-08 19:13:15,positive
iPhone,Experiencing connectivity issues with the iPhone.,2016-07-04 18:55:33,positive
Xiaomi,The Xiaomi has exceeded my expectations!,2016-08-10 19:46:05,negative
iPhone,My iPhone is slower than expected.,2016-09-23 00:14:16,positive
Xiaomi,I regret buying the Xiaomi. Not worth the money.,2016-09-27 08:09:41,negative
Google Pixel,Battery life on the Google Pixel is excellent.,2016-07-12 02:48:27,negative
Xiaomi,The camera on the Xiaomi is disappointing.,2016-09-15 18:56:23,positive
Samsung Galaxy,Really happy with the performance of my new Samsung Galaxy.,2016-07-24 07:01:16,neutral
Xiaomi,Not too impressed with the Xiaomi. Expected more.,2016-07-01 20:49:41,positive
Samsung Galaxy,Not too impressed with the Samsung Galaxy. Expected more.,2016-07-12 18:04:09,positive
OnePlus,The OnePlus is really sleek and fast.,2016-07-21 12:06:32,positive
OnePlus,The camera quality on the OnePlus is amazing.,2016-08-10 03:52:54,negative
Samsung Galaxy,The Samsung Galaxy is really sleek and fast.,2016-08-15 14:17:35,positive
Google Pixel,Really happy with the performance of my new Google Pixel.,2016-07-07 22:29:56,negative
Google Pixel,The display on the Google Pixel is so vibrant and clear.,2016-07-23 18:11:04,neutral
OnePlus,Touchscreen on my OnePlus is unresponsive at times.,2016-08-15 04:15:54,negative
iPhone,I'm impressed with the build quality of the iPhone.,2016-09-02 22:17:45,negative
Google Pixel,The Google Pixel keeps crashing. Frustrated!,2016-07-18 12:09:29,positive
Xiaomi,Not too impressed with the Xiaomi. Expected more.,2016-07-08 23:06:06,negative
Xiaomi,The display on the Xiaomi is so vibrant and clear.,2016-09-23 15:26:44,positive
iPhone,Battery life on the iPhone is excellent.,2016-07-11 23:24:43,negative
Xiaomi,Why is my Xiaomi overheating?,2016-09-28 18:57:52,positive
iPhone,The iPhone has exceeded my expectations!,2016-08-28 07:43:05,positive
Xiaomi,Touchscreen on my Xiaomi is unresponsive at times.,2016-09-21 19:02:30,neutral
iPhone,Having some issues with my iPhone. Anyone else?,2016-09-18 10:57:34,negative
iPhone,My iPhone runs all my apps smoothly.,2016-09-27 18:46:19,positive
iPhone,I regret buying the iPhone. Not worth the money.,2016-09-02 13:29:38,positive
iPhone,Not too impressed with the iPhone. Expected more.,2016-08-14 08:04:26,positive
OnePlus,The OnePlus is a great value for the price.,2016-09-17 12:34:47,negative
Google Pixel,The Google Pixel is a great value for the price.,2016-09-20 00:12:31,negative
iPhone,Experiencing connectivity issues with the iPhone.,2016-07-17 01:06:41,negative
OnePlus,Having some issues with my OnePlus. Anyone else?,2016-09-12 04:41:59,negative
Samsung Galaxy,Why is my Samsung Galaxy overheating?,2016-07-22 02:05:33,positive
Samsung Galaxy,The camera on the Samsung Galaxy is disappointing.,2016-08-15 01:35:30,negative
iPhone,The iPhone has exceeded my expectations!,2016-08-20 04:27:46,positive
Xiaomi,The camera quality on the Xiaomi is amazing.,2016-07-24 13:29:24,negative
OnePlus,The display on the OnePlus is so vibrant and clear.,2016-08-14 00:13:56,positive
Samsung Galaxy,My Samsung Galaxy runs all my apps smoothly.,2016-09-15 19:12:21,negative
iPhone,The camera quality on the iPhone is amazing.,2016-09-13 14:58:06,positive
OnePlus,Battery life on the OnePlus could be better.,2016-09-19 15:21:08,neutral
OnePlus,My OnePlus runs all my apps smoothly.,2016-08-09 06:55:26,positive
Xiaomi,Battery life on the Xiaomi could be better.,2016-09-05 19:52:11,neutral
OnePlus,Experiencing connectivity issues with the OnePlus.,2016-07-18 16:17:30,neutral
Xiaomi,Not too impressed with the Xiaomi. Expected more.,2016-07-12 23:04:35,neutral
Xiaomi,Not too impressed with the Xiaomi. Expected more.,2016-08-01 18:10:09,negative
Samsung Galaxy,The Samsung Galaxy keeps crashing. Frustrated!,2016-09-08 05:10:40,neutral
OnePlus,Battery life on the OnePlus could be better.,2016-09-19 15:28:16,negative
OnePlus,The OnePlus is a great value for the price.,2016-09-13 01:23:41,negative
Samsung Galaxy,Not too impressed with the Samsung Galaxy. Expected more.,2016-09-02 18:17:07,negative
OnePlus,Battery life on the OnePlus could be better.,2016-09-03 05:41:49,neutral
OnePlus,The display on the OnePlus is so vibrant and clear.,2016-09-14 08:59:49,neutral
OnePlus,Battery life on the OnePlus is excellent.,2016-07-31 01:49:59,positive
iPhone,Battery life on the iPhone could be better.,2016-07-04 17:24:13,negative
OnePlus,Really happy with the performance of my new OnePlus.,2016-09-08 09:58:27,negative
Xiaomi,Not too impressed with the Xiaomi. Expected more.,2016-08-25 20:53:13,negative
iPhone,I'm impressed with the build quality of the iPhone.,2016-08-20 02:56:53,negative
Samsung Galaxy,Just got my new Samsung Galaxy! Loving it so far.,2016-08-22 03:21:00,negative
iPhone,Not too impressed with the iPhone. Expected more.,2016-08-22 23:11:53,positive
OnePlus,My OnePlus runs all my apps smoothly.,2016-08-03 21:46:07,negative
Samsung Galaxy,Battery life on the Samsung Galaxy could be better.,2016-08-30 18:37:44,neutral
iPhone,The iPhone keeps crashing. Frustrated!,2016-07-16 10:02:23,positive
iPhone,I'm impressed with the build quality of the iPhone.,2016-09-05 14:03:47,negative
OnePlus,The camera on the OnePlus is disappointing.,2016-09-28 09:01:12,neutral
Google Pixel,My Google Pixel runs all my apps smoothly.,2016-07-26 10:45:24,negative
iPhone,The display on the iPhone is so vibrant and clear.,2016-07-24 15:20:09,neutral
Google Pixel,Really happy with the performance of my new Google Pixel.,2016-08-15 09:11:45,positive
Google Pixel,The camera on the Google Pixel is disappointing.,2016-07-30 03:33:59,neutral
OnePlus,Experiencing connectivity issues with the OnePlus.,2016-09-16 14:46:19,positive
Samsung Galaxy,My Samsung Galaxy runs all my apps smoothly.,2016-08-05 11:13:21,neutral
Samsung Galaxy,Having some issues with my Samsung Galaxy. Anyone else?,2016-07-21 14:19:40,negative
Samsung Galaxy,Just got my new Samsung Galaxy! Loving it so far.,2016-07-08 21:09:53,neutral
Google Pixel,Just got my new Google Pixel! Loving it so far.,2016-07-01 06:47:57,negative
Xiaomi,Really happy with the performance of my new Xiaomi.,2016-08-22 06:13:17,neutral
Xiaomi,The Xiaomi is really sleek and fast.,2016-09-13 01:27:41,negative
Google Pixel,Really happy with the performance of my new Google Pixel.,2016-07-02 08:05:13,neutral
Samsung Galaxy,Experiencing connectivity issues with the Samsung Galaxy.,2016-07-14 20:26:45,neutral
Samsung Galaxy,Battery life on the Samsung Galaxy could be better.,2016-07-28 06:28:53,neutral
Xiaomi,Battery life on the Xiaomi is excellent.,2016-08-18 14:18:03,neutral
Google Pixel,Touchscreen on my Google Pixel is unresponsive at times.,2016-08-14 17:39:36,negative
Xiaomi,My Xiaomi is slower than expected.,2016-08-15 17:35:46,positive
Google Pixel,My Google Pixel is slower than expected.,2016-07-01 13:10:37,positive
Google Pixel,I'm impressed with the build quality of the Google Pixel.,2016-08-12 21:39:06,negative
iPhone,Having some issues with my iPhone. Anyone else?,2016-09-12 16:50:13,neutral
Xiaomi,Experiencing connectivity issues with the Xiaomi.,2016-09-15 19:19:08,positive
iPhone,The iPhone is a great value for the price.,2016-07-28 15:30:49,neutral
Google Pixel,Why is my Google Pixel overheating?,2016-08-14 07:04:50,neutral
Xiaomi,The Xiaomi is a great value for the price.,2016-08-12 04:05:00,positive
Google Pixel,The camera quality on the Google Pixel is amazing.,2016-09-22 04:12:31,neutral
Xiaomi,Battery life on the Xiaomi could be better.,2016-07-04 17:20:32,negative
Samsung Galaxy,Touchscreen on my Samsung Galaxy is unresponsive at times.,2016-07-17 13:37:22,neutral
Xiaomi,The Xiaomi keeps crashing. Frustrated!,2016-07-31 18:15:27,positive
OnePlus,The OnePlus is really sleek and fast.,2016-08-30 02:59:07,neutral
Xiaomi,My Xiaomi runs all my apps smoothly.,2016-08-01 11:58:01,neutral
