product,content,date_time
iPhone,I regret buying the iPhone. Not worth the money.,2016-08-03 08:44:25
Google Pixel,My Google Pixel runs all my apps smoothly.,2016-07-19 09:20:32
Xiaomi,The Xiaomi is a great value for the price.,2016-07-05 00:19:53
Xiaomi,The Xiaomi is really sleek and fast.,2016-09-14 21:00:51
iPhone,The camera on the iPhone is disappointing.,2016-07-25 19:44:52
iPhone,Battery life on the iPhone is excellent.,2016-08-25 05:06:20
OnePlus,Touchscreen on my OnePlus is unresponsive at times.,2016-07-11 19:08:25
Google Pixel,Touchscreen on my Google Pixel is unresponsive at times.,2016-09-21 19:05:01
iPhone,Experiencing connectivity issues with the iPhone.,2016-08-14 04:28:43
Samsung Galaxy,Experiencing connectivity issues with the Samsung Galaxy.,2016-09-06 23:27:17
Samsung Galaxy,Battery life on the Samsung Galaxy is excellent.,2016-07-05 08:57:53
iPhone,My iPhone is slower than expected.,2016-07-05 17:18:53
Xiaomi,Why is my Xiaomi overheating?,2016-07-15 00:18:55
Xiaomi,My Xiaomi runs all my apps smoothly.,2016-09-25 19:18:44
Samsung Galaxy,Not too impressed with the Samsung Galaxy. Expected more.,2016-08-10 02:05:58
Google Pixel,Just got my new Google Pixel! Loving it so far.,2016-07-02 06:16:15
Xiaomi,Touchscreen on my Xiaomi is unresponsive at times.,2016-09-24 02:24:21
Xiaomi,The camera on the Xiaomi is disappointing.,2016-07-03 03:55:44
Samsung Galaxy,Having some issues with my Samsung Galaxy. Anyone else?,2016-09-15 10:57:28
Google Pixel,Battery life on the Google Pixel could be better.,2016-09-05 04:06:41
Samsung Galaxy,My Samsung Galaxy is slower than expected.,2016-08-06 08:51:32
OnePlus,The camera on the OnePlus is disappointing.,2016-09-20 06:39:43
Samsung Galaxy,My Samsung Galaxy runs all my apps smoothly.,2016-09-13 20:11:08
OnePlus,The OnePlus is really sleek and fast.,2016-07-31 00:27:35
Xiaomi,Battery life on the Xiaomi is excellent.,2016-08-10 03:15:42
iPhone,Really happy with the performance of my new iPhone.,2016-09-16 10:17:34
iPhone,I'm impressed with the build quality of the iPhone.,2016-09-08 17:49:31
iPhone,I'm impressed with the build quality of the iPhone.,2016-09-13 17:08:26
Google Pixel,Really happy with the performance of my new Google Pixel.,2016-07-09 21:57:38
iPhone,Not too impressed with the iPhone. Expected more.,2016-09-19 14:16:21
Samsung Galaxy,The camera quality on the Samsung Galaxy is amazing.,2016-09-20 12:20:56
Samsung Galaxy,Not too impressed with the Samsung Galaxy. Expected more.,2016-09-10 10:26:09
iPhone,The iPhone keeps crashing. Frustrated!,2016-09-20 22:27:22
Samsung Galaxy,The display on the Samsung Galaxy is so vibrant and clear.,2016-07-16 21:31:07
Google Pixel,Having some issues with my Google Pixel. Anyone else?,2016-08-02 03:14:54
Xiaomi,The Xiaomi is a great value for the price.,2016-07-28 14:28:28
Samsung Galaxy,The Samsung Galaxy has exceeded my expectations!,2016-07-29 21:56:43
iPhone,My iPhone runs all my apps smoothly.,2016-08-01 12:14:28
Xiaomi,The camera on the Xiaomi is disappointing.,2016-08-08 03:16:24
iPhone,I'm impressed with the build quality of the iPhone.,2016-08-07 08:47:00
Samsung Galaxy,I regret buying the Samsung Galaxy. Not worth the money.,2016-08-15 07:15:47
OnePlus,I'm impressed with the build quality of the OnePlus.,2016-09-26 08:56:44
OnePlus,Having some issues with my OnePlus. Anyone else?,2016-07-01 22:53:18
iPhone,Why is my iPhone overheating?,2016-08-30 06:11:06
iPhone,Battery life on the iPhone is excellent.,2016-09-18 01:44:00
iPhone,I'm impressed with the build quality of the iPhone.,2016-09-09 13:17:11
Samsung Galaxy,The display on the Samsung Galaxy is so vibrant and clear.,2016-08-05 08:46:57
iPhone,The camera on the iPhone is disappointing.,2016-07-18 04:00:32
Samsung Galaxy,Not too impressed with the Samsung Galaxy. Expected more.,2016-07-18 23:36:57
Google Pixel,The display on the Google Pixel is so vibrant and clear.,2016-08-15 14:49:18
OnePlus,The OnePlus has exceeded my expectations!,2016-09-29 05:26:48
iPhone,Not too impressed with the iPhone. Expected more.,2016-09-12 10:52:32
OnePlus,I'm impressed with the build quality of the OnePlus.,2016-09-08 21:55:58
iPhone,Touchscreen on my iPhone is unresponsive at times.,2016-09-12 07:56:59
Google Pixel,My Google Pixel runs all my apps smoothly.,2016-08-20 04:37:27
Google Pixel,The Google Pixel has exceeded my expectations!,2016-08-05 18:04:43
Google Pixel,The display on the Google Pixel is so vibrant and clear.,2016-08-09 16:52:35
iPhone,The display on the iPhone is so vibrant and clear.,2016-08-23 23:12:48
OnePlus,The display on the OnePlus is so vibrant and clear.,2016-08-21 16:43:13
Google Pixel,Having some issues with my Google Pixel. Anyone else?,2016-09-02 04:15:21
Samsung Galaxy,The Samsung Galaxy is really sleek and fast.,2016-08-06 00:56:08
Google Pixel,The Google Pixel is a great value for the price.,2016-07-09 00:11:48
Samsung Galaxy,Battery life on the Samsung Galaxy is excellent.,2016-08-01 22:08:52
iPhone,Experiencing connectivity issues with the iPhone.,2016-07-17 20:46:57
Xiaomi,Having some issues with my Xiaomi. Anyone else?,2016-07-30 00:33:20
Xiaomi,I regret buying the Xiaomi. Not worth the money.,2016-08-16 02:40:46
iPhone,The iPhone keeps crashing. Frustrated!,2016-09-07 17:57:35
OnePlus,Experiencing connectivity issues with the OnePlus.,2016-08-13 07:37:41
Google Pixel,I'm impressed with the build quality of the Google Pixel.,2016-09-14 00:34:08
iPhone,The camera quality on the iPhone is amazing.,2016-08-20 13:50:40
iPhone,The display on the iPhone is so vibrant and clear.,2016-08-15 02:00:39
Samsung Galaxy,My Samsung Galaxy is slower than expected.,2016-08-09 13:51:02
iPhone,Experiencing connectivity issues with the iPhone.,2016-08-08 07:15:57
OnePlus,Experiencing connectivity issues with the OnePlus.,2016-08-30 15:44:48
OnePlus,My OnePlus runs all my apps smoothly.,2016-09-15 13:26:45
OnePlus,Battery life on the OnePlus could be better.,2016-09-03 15:30:05
Google Pixel,The Google Pixel is a great value for the price.,2016-08-10 17:11:40
Xiaomi,Not too impressed with the Xiaomi. Expected more.,2016-07-24 01:31:03
Xiaomi,Touchscreen on my Xiaomi is unresponsive at times.,2016-07-16 13:47:14
OnePlus,The OnePlus is really sleek and fast.,2016-07-06 10:31:07
iPhone,The camera on the iPhone is disappointing.,2016-08-08 07:27:53
iPhone,My iPhone runs all my apps smoothly.,2016-09-13 17:03:23
iPhone,Battery life on the iPhone could be better.,2016-07-13 15:32:35
Xiaomi,The camera quality on the Xiaomi is amazing.,2016-09-20 07:31:21
Google Pixel,Just got my new Google Pixel! Loving it so far.,2016-09-20 06:44:50
Xiaomi,Why is my Xiaomi overheating?,2016-07-22 13:51:57
Google Pixel,My Google Pixel is slower than expected.,2016-07-18 19:24:38
iPhone,Experiencing connectivity issues with the iPhone.,2016-07-25 09:14:32
OnePlus,The OnePlus has exceeded my expectations!,2016-08-09 19:46:22
Google Pixel,I regret buying the Google Pixel. Not worth the money.,2016-08-29 13:59:29
Xiaomi,The display on the Xiaomi is so vibrant and clear.,2016-07-15 22:30:18
OnePlus,Not too impressed with the OnePlus. Expected more.,2016-08-29 12:07:33
Google Pixel,I'm impressed with the build quality of the Google Pixel.,2016-07-03 16:34:52
OnePlus,I'm impressed with the build quality of the OnePlus.,2016-08-22 15:37:45
Xiaomi,Really happy with the performance of my new Xiaomi.,2016-09-20 06:22:40
iPhone,Not too impressed with the iPhone. Expected more.,2016-09-04 00:04:29
Samsung Galaxy,The camera on the Samsung Galaxy is disappointing.,2016-07-15 05:56:50
iPhone,The iPhone is a great value for the price.,2016-08-07 04:26:13
iPhone,The iPhone has exceeded my expectations!,2016-09-14 23:54:58
Xiaomi,Battery life on the Xiaomi is excellent.,2016-07-07 16:42:07
Google Pixel,Why is my Google Pixel overheating?,2016-07-13 08:06:29
OnePlus,The camera on the OnePlus is disappointing.,2016-07-12 08:54:41
Xiaomi,The camera on the Xiaomi is disappointing.,2016-09-11 05:35:42
Samsung Galaxy,Battery life on the Samsung Galaxy is excellent.,2016-08-10 15:14:30
OnePlus,Really happy with the performance of my new OnePlus.,2016-07-07 16:02:32
Samsung Galaxy,Experiencing connectivity issues with the Samsung Galaxy.,2016-08-23 15:20:42
Xiaomi,The camera on the Xiaomi is disappointing.,2016-07-09 20:25:19
Google Pixel,The Google Pixel has exceeded my expectations!,2016-07-13 14:01:27
iPhone,The iPhone keeps crashing. Frustrated!,2016-08-03 01:44:55
Xiaomi,Experiencing connectivity issues with the Xiaomi.,2016-07-31 16:30:27
Samsung Galaxy,Battery life on the Samsung Galaxy could be better.,2016-08-05 13:31:09
Samsung Galaxy,The Samsung Galaxy is a great value for the price.,2016-07-21 17:54:58
Google Pixel,Really happy with the performance of my new Google Pixel.,2016-09-14 23:29:27
Google Pixel,Battery life on the Google Pixel could be better.,2016-09-12 10:54:18
Samsung Galaxy,Touchscreen on my Samsung Galaxy is unresponsive at times.,2016-08-21 03:19:22
Samsung Galaxy,Having some issues with my Samsung Galaxy. Anyone else?,2016-09-01 01:46:14
Xiaomi,Battery life on the Xiaomi is excellent.,2016-07-23 15:55:33
Xiaomi,The Xiaomi is a great value for the price.,2016-08-31 19:28:20
iPhone,The iPhone keeps crashing. Frustrated!,2016-08-18 08:13:40
Samsung Galaxy,My Samsung Galaxy is slower than expected.,2016-09-12 02:51:04
Samsung Galaxy,I regret buying the Samsung Galaxy. Not worth the money.,2016-08-29 21:57:12
Xiaomi,Experiencing connectivity issues with the Xiaomi.,2016-09-05 11:54:30
iPhone,Experiencing connectivity issues with the iPhone.,2016-07-09 17:08:14
OnePlus,Not too impressed with the OnePlus. Expected more.,2016-08-07 09:43:44
Samsung Galaxy,I'm impressed with the build quality of the Samsung Galaxy.,2016-07-04 05:12:15
iPhone,Just got my new iPhone! Loving it so far.,2016-09-23 04:15:55
Samsung Galaxy,I'm impressed with the build quality of the Samsung Galaxy.,2016-09-13 23:30:40
Google Pixel,Experiencing connectivity issues with the Google Pixel.,2016-09-09 06:59:38
OnePlus,Really happy with the performance of my new OnePlus.,2016-09-19 16:04:06
Samsung Galaxy,Not too impressed with the Samsung Galaxy. Expected more.,2016-08-07 05:41:25
iPhone,The display on the iPhone is so vibrant and clear.,2016-09-19 05:21:48
OnePlus,My OnePlus is slower than expected.,2016-08-25 09:25:19
Xiaomi,The camera quality on the Xiaomi is amazing.,2016-09-25 16:31:06
Google Pixel,Experiencing connectivity issues with the Google Pixel.,2016-07-01 23:04:29
iPhone,Experiencing connectivity issues with the iPhone.,2016-08-18 12:00:53
Samsung Galaxy,The Samsung Galaxy is really sleek and fast.,2016-08-28 11:57:44
OnePlus,My OnePlus is slower than expected.,2016-07-21 03:58:48
Samsung Galaxy,The Samsung Galaxy is a great value for the price.,2016-07-05 15:18:39
Samsung Galaxy,Touchscreen on my Samsung Galaxy is unresponsive at times.,2016-08-14 00:30:48
Xiaomi,The Xiaomi has exceeded my expectations!,2016-09-10 22:04:18
OnePlus,I'm impressed with the build quality of the OnePlus.,2016-07-09 23:45:02
iPhone,Battery life on the iPhone is excellent.,2016-08-02 22:14:16
Xiaomi,I regret buying the Xiaomi. Not worth the money.,2016-09-25 14:16:26
OnePlus,Experiencing connectivity issues with the OnePlus.,2016-07-13 18:07:41
OnePlus,The OnePlus is really sleek and fast.,2016-09-23 03:31:23
Samsung Galaxy,Battery life on the Samsung Galaxy could be better.,2016-07-03 05:42:05
iPhone,Battery life on the iPhone could be better.,2016-08-20 20:51:25
Google Pixel,Just got my new Google Pixel! Loving it so far.,2016-07-26 17:09:39
Samsung Galaxy,I regret buying the Samsung Galaxy. Not worth the money.,2016-07-14 13:09:03
Samsung Galaxy,Battery life on the Samsung Galaxy could be better.,2016-08-07 14:15:27
Google Pixel,Battery life on the Google Pixel could be better.,2016-08-19 15:38:09
Xiaomi,My Xiaomi is slower than expected.,2016-07-07 01:39:27
OnePlus,Really happy with the performance of my new OnePlus.,2016-09-28 16:31:27
Samsung Galaxy,I regret buying the Samsung Galaxy. Not worth the money.,2016-07-24 19:05:53
iPhone,My iPhone runs all my apps smoothly.,2016-08-23 16:18:02
iPhone,Really happy with the performance of my new iPhone.,2016-07-14 02:31:04
OnePlus,Battery life on the OnePlus is excellent.,2016-07-16 18:16:37
iPhone,I'm impressed with the build quality of the iPhone.,2016-09-03 08:20:46
Samsung Galaxy,The Samsung Galaxy keeps crashing. Frustrated!,2016-08-07 17:09:27
Xiaomi,The camera on the Xiaomi is disappointing.,2016-09-16 11:29:02
Xiaomi,Why is my Xiaomi overheating?,2016-07-28 04:23:41
Google Pixel,Not too impressed with the Google Pixel. Expected more.,2016-07-04 21:36:30
Xiaomi,Just got my new Xiaomi! Loving it so far.,2016-09-22 13:57:26
Google Pixel,Battery life on the Google Pixel could be better.,2016-08-01 00:58:12
Xiaomi,Why is my Xiaomi overheating?,2016-08-23 13:32:29
iPhone,The iPhone has exceeded my expectations!,2016-08-14 21:55:25
iPhone,The camera quality on the iPhone is amazing.,2016-07-04 20:47:44
iPhone,Battery life on the iPhone is excellent.,2016-08-26 00:59:19
iPhone,The iPhone keeps crashing. Frustrated!,2016-07-29 18:39:48
Xiaomi,The camera quality on the Xiaomi is amazing.,2016-08-28 12:26:56
Samsung Galaxy,The display on the Samsung Galaxy is so vibrant and clear.,2016-09-25 00:55:47
Xiaomi,The camera quality on the Xiaomi is amazing.,2016-07-21 06:58:54
Google Pixel,Having some issues with my Google Pixel. Anyone else?,2016-07-08 15:17:13
Samsung Galaxy,Just got my new Samsung Galaxy! Loving it so far.,2016-09-12 03:22:18
OnePlus,The OnePlus is a great value for the price.,2016-09-09 12:00:08
Samsung Galaxy,The Samsung Galaxy keeps crashing. Frustrated!,2016-07-19 15:25:09
iPhone,The iPhone is a great value for the price.,2016-08-24 11:21:43
Google Pixel,The Google Pixel is a great value for the price.,2016-08-09 21:50:33
Samsung Galaxy,Having some issues with my Samsung Galaxy. Anyone else?,2016-09-02 00:50:55
iPhone,Having some issues with my iPhone. Anyone else?,2016-09-20 19:16:13
OnePlus,The OnePlus is really sleek and fast.,2016-07-09 04:52:54
Google Pixel,The Google Pixel keeps crashing. Frustrated!,2016-09-19 11:18:57
Google Pixel,Just got my new Google Pixel! Loving it so far.,2016-09-25 12:00:13
OnePlus,The OnePlus keeps crashing. Frustrated!,2016-07-14 05:21:43
Xiaomi,I regret buying the Xiaomi. Not worth the money.,2016-08-12 10:51:33
iPhone,I regret buying the iPhone. Not worth the money.,2016-09-29 23:55:31
iPhone,Really happy with the performance of my new iPhone.,2016-07-01 21:28:45
Samsung Galaxy,The camera quality on the Samsung Galaxy is amazing.,2016-08-10 21:32:28
OnePlus,The OnePlus is really sleek and fast.,2016-09-17 03:15:36
Samsung Galaxy,The camera quality on the Samsung Galaxy is amazing.,2016-08-23 11:00:21
Samsung Galaxy,Why is my Samsung Galaxy overheating?,2016-07-23 08:22:06
Google Pixel,I regret buying the Google Pixel. Not worth the money.,2016-07-17 23:39:24
Google Pixel,I regret buying the Google Pixel. Not worth the money.,2016-09-29 06:15:12
OnePlus,Experiencing connectivity issues with the OnePlus.,2016-07-29 20:58:06
Google Pixel,The Google Pixel has exceeded my expectations!,2016-09-03 18:11:07
Xiaomi,Battery life on the Xiaomi is excellent.,2016-07-15 21:37:18
Samsung Galaxy,Experiencing connectivity issues with the Samsung Galaxy.,2016-09-17 13:52:37
Xiaomi,I'm impressed with the build quality of the Xiaomi.,2016-08-19 23:40:25
Samsung Galaxy,Experiencing connectivity issues with the Samsung Galaxy.,2016-08-01 20:26:13
Xiaomi,My Xiaomi is slower than expected.,2016-09-01 09:52:51
Xiaomi,Having some issues with my Xiaomi. Anyone else?,2016-07-18 06:51:17
Samsung Galaxy,Having some issues with my Samsung Galaxy. Anyone else?,2016-09-13 21:29:39
Google Pixel,The Google Pixel is a great value for the price.,2016-09-09 06:25:53
OnePlus,The OnePlus has exceeded my expectations!,2016-09-26 02:43:58
Google Pixel,The Google Pixel keeps crashing. Frustrated!,2016-08-29 11:56:28
OnePlus,Having some issues with my OnePlus. Anyone else?,2016-08-17 02:29:05
Google Pixel,The camera on the Google Pixel is disappointing.,2016-08-05 11:03:46
OnePlus,The OnePlus keeps crashing. Frustrated!,2016-07-21 13:00:30
Samsung Galaxy,Why is my Samsung Galaxy overheating?,2016-08-11 11:55:56
Google Pixel,Battery life on the Google Pixel could be better.,2016-09-27 05:52:06
Google Pixel,Not too impressed with the Google Pixel. Expected more.,2016-08-29 05:05:14
Xiaomi,The Xiaomi keeps crashing. Frustrated!,2016-08-19 21:03:40
Xiaomi,Having some issues with my Xiaomi. Anyone else?,2016-07-08 20:15:12
iPhone,The camera on the iPhone is disappointing.,2016-09-21 02:50:51
Samsung Galaxy,Battery life on the Samsung Galaxy could be better.,2016-09-15 13:07:37
Samsung Galaxy,Battery life on the Samsung Galaxy is excellent.,2016-07-12 21:57:17
Xiaomi,The display on the Xiaomi is so vibrant and clear.,2016-07-24 12:27:36
iPhone,The iPhone has exceeded my expectations!,2016-08-23 00:37:06
Xiaomi,The Xiaomi is really sleek and fast.,2016-09-25 23:22:54
Xiaomi,Experiencing connectivity issues with the Xiaomi.,2016-07-11 08:10:56
Samsung Galaxy,Really happy with the performance of my new Samsung Galaxy.,2016-08-28 02:11:41
Samsung Galaxy,Experiencing connectivity issues with the Samsung Galaxy.,2016-09-10 14:14:46
Xiaomi,Really happy with the performance of my new Xiaomi.,2016-07-03 19:52:10
OnePlus,Experiencing connectivity issues with the OnePlus.,2016-07-07 12:09:55
Xiaomi,Having some issues with my Xiaomi. Anyone else?,2016-08-10 07:05:15
Samsung Galaxy,The Samsung Galaxy is a great value for the price.,2016-07-08 09:36:29
iPhone,The iPhone keeps crashing. Frustrated!,2016-07-22 10:56:27
Google Pixel,Experiencing connectivity issues with the Google Pixel.,2016-08-17 21:49:46
iPhone,My iPhone is slower than expected.,2016-07-10 06:35:59
Samsung Galaxy,I'm impressed with the build quality of the Samsung Galaxy.,2016-07-23 01:33:29
Xiaomi,The camera on the Xiaomi is disappointing.,2016-08-31 07:28:32
iPhone,My iPhone runs all my apps smoothly.,2016-09-04 04:52:24
OnePlus,Battery life on the OnePlus could be better.,2016-08-27 12:02:16
Xiaomi,Not too impressed with the Xiaomi. Expected more.,2016-08-16 09:50:54
OnePlus,Experiencing connectivity issues with the OnePlus.,2016-08-02 02:09:00
OnePlus,The OnePlus has exceeded my expectations!,2016-07-08 05:19:14
Xiaomi,The Xiaomi is a great value for the price.,2016-07-13 13:19:48
iPhone,The display on the iPhone is so vibrant and clear.,2016-09-22 22:01:09
iPhone,The camera quality on the iPhone is amazing.,2016-07-19 05:14:21
iPhone,Touchscreen on my iPhone is unresponsive at times.,2016-07-21 21:40:59
Xiaomi,Not too impressed with the Xiaomi. Expected more.,2016-07-06 19:52:20
Xiaomi,The Xiaomi keeps crashing. Frustrated!,2016-07-28 23:37:10
Xiaomi,Not too impressed with the Xiaomi. Expected more.,2016-09-07 06:48:58
Xiaomi,The camera quality on the Xiaomi is amazing.,2016-08-06 01:37:28
iPhone,Why is my iPhone overheating?,2016-09-11 10:59:29
Xiaomi,I'm impressed with the build quality of the Xiaomi.,2016-08-20 04:20:38
OnePlus,My OnePlus is slower than expected.,2016-07-11 13:26:32
Xiaomi,My Xiaomi runs all my apps smoothly.,2016-07-25 18:37:27
Samsung Galaxy,The display on the Samsung Galaxy is so vibrant and clear.,2016-09-08 00:07:11
Google Pixel,Why is my Google Pixel overheating?,2016-07-26 11:13:13
Google Pixel,I regret buying the Google Pixel. Not worth the money.,2016-07-16 16:19:25
Xiaomi,Why is my Xiaomi overheating?,2016-08-04 12:25:10
Samsung Galaxy,I regret buying the Samsung Galaxy. Not worth the money.,2016-08-22 12:44:54
Samsung Galaxy,I'm impressed with the build quality of the Samsung Galaxy.,2016-07-27 09:42:32
Samsung Galaxy,The Samsung Galaxy is a great value for the price.,2016-09-17 18:37:02
Google Pixel,The camera quality on the Google Pixel is amazing.,2016-08-27 17:23:00
Google Pixel,My Google Pixel runs all my apps smoothly.,2016-07-05 15:43:45
iPhone,My iPhone runs all my apps smoothly.,2016-07-27 17:30:27
Xiaomi,Battery life on the Xiaomi could be better.,2016-09-03 10:37:42
OnePlus,The OnePlus is really sleek and fast.,2016-09-02 12:41:33
Xiaomi,Experiencing connectivity issues with the Xiaomi.,2016-08-30 15:40:00
Xiaomi,The camera on the Xiaomi is disappointing.,2016-09-16 06:24:25
Google Pixel,Battery life on the Google Pixel could be better.,2016-07-22 22:48:55
iPhone,Just got my new iPhone! Loving it so far.,2016-07-29 14:05:30
OnePlus,The camera quality on the OnePlus is amazing.,2016-07-16 03:59:20
iPhone,Battery life on the iPhone could be better.,2016-09-23 19:11:55
Samsung Galaxy,Really happy with the performance of my new Samsung Galaxy.,2016-09-03 20:14:35
Google Pixel,The Google Pixel keeps crashing. Frustrated!,2016-08-30 17:26:51
iPhone,My iPhone runs all my apps smoothly.,2016-09-03 15:49:40
Xiaomi,The Xiaomi is really sleek and fast.,2016-09-20 12:32:01
Xiaomi,Why is my Xiaomi overheating?,2016-09-29 16:58:06
iPhone,The camera quality on the iPhone is amazing.,2016-09-08 06:09:20
Google Pixel,The Google Pixel is a great value for the price.,2016-09-29 20:44:31
OnePlus,The OnePlus keeps crashing. Frustrated!,2016-07-19 03:50:58
OnePlus,The display on the OnePlus is so vibrant and clear.,2016-09-02 10:13:27
Xiaomi,Not too impressed with the Xiaomi. Expected more.,2016-08-03 19:48:43
Xiaomi,Experiencing connectivity issues with the Xiaomi.,2016-07-11 23:53:25
Samsung Galaxy,Experiencing connectivity issues with the Samsung Galaxy.,2016-08-30 05:58:04
Samsung Galaxy,The display on the Samsung Galaxy is so vibrant and clear.,2016-09-13 16:08:56
Xiaomi,Really happy with the performance of my new Xiaomi.,2016-09-14 15:26:45
iPhone,Battery life on the iPhone could be better.,2016-09-17 01:41:52
OnePlus,Touchscreen on my OnePlus is unresponsive at times.,2016-07-22 15:31:02
Google Pixel,Having some issues with my Google Pixel. Anyone else?,2016-08-25 11:48:20
Google Pixel,Having some issues with my Google Pixel. Anyone else?,2016-07-12 15:58:52
Xiaomi,Battery life on the Xiaomi could be better.,2016-07-04 00:24:41
Xiaomi,My Xiaomi is slower than expected.,2016-07-21 17:57:53
OnePlus,Having some issues with my OnePlus. Anyone else?,2016-09-27 10:55:50
Samsung Galaxy,Battery life on the Samsung Galaxy could be better.,2016-07-16 08:23:28
Samsung Galaxy,Having some issues with my Samsung Galaxy. Anyone else?,2016-09-08 19:13:52
iPhone,The iPhone has exceeded my expectations!,2016-08-22 13:58:04
OnePlus,Just got my new OnePlus! Loving it so far.,2016-07-17 10:11:26
Samsung Galaxy,The Samsung Galaxy keeps crashing. Frustrated!,2016-07-26 09:28:21
iPhone,The camera on the iPhone is disappointing.,2016-09-04 00:00:14
Xiaomi,I regret buying the Xiaomi. Not worth the money.,2016-09-22 17:07:54
OnePlus,The OnePlus is really sleek and fast.,2016-08-19 07:12:25
Google Pixel,The camera on the Google Pixel is disappointing.,2016-09-11 10:29:19
Samsung Galaxy,Battery life on the Samsung Galaxy could be better.,2016-07-29 19:49:34
Google Pixel,The camera quality on the Google Pixel is amazing.,2016-09-13 15:24:20
Google Pixel,My Google Pixel runs all my apps smoothly.,2016-09-20 04:01:00
Google Pixel,Not too impressed with the Google Pixel. Expected more.,2016-08-21 18:52:50
Google Pixel,Battery life on the Google Pixel is excellent.,2016-08-24 11:54:29
iPhone,Having some issues with my iPhone. Anyone else?,2016-08-18 01:48:11
iPhone,The display on the iPhone is so vibrant and clear.,2016-09-20 15:27:51
Samsung Galaxy,Battery life on the Samsung Galaxy is excellent.,2016-08-24 03:35:29
Xiaomi,Why is my Xiaomi overheating?,2016-09-17 11:19:01
OnePlus,The OnePlus keeps crashing. Frustrated!,2016-07-12 10:40:26
Samsung Galaxy,The Samsung Galaxy is really sleek and fast.,2016-09-27 10:44:04
iPhone,Touchscreen on my iPhone is unresponsive at times.,2016-09-25 13:23:47
OnePlus,Touchscreen on my OnePlus is unresponsive at times.,2016-09-03 07:54:21
iPhone,I regret buying the iPhone. Not worth the money.,2016-07-24 23:06:26
Xiaomi,The Xiaomi keeps crashing. Frustrated!,2016-07-08 06:28:49
Samsung Galaxy,The display on the Samsung Galaxy is so vibrant and clear.,2016-08-12 01:12:57
Google Pixel,Just got my new Google Pixel! Loving it so far.,2016-07-22 03:52:02
iPhone,My iPhone is slower than expected.,2016-07-18 01:30:06
Google Pixel,Experiencing connectivity issues with the Google Pixel.,2016-08-03 04:14:17
OnePlus,I'm impressed with the build quality of the OnePlus.,2016-07-13 03:52:42
OnePlus,The display on the OnePlus is so vibrant and clear.,2016-08-05 05:05:33
OnePlus,The OnePlus keeps crashing. Frustrated!,2016-07-16 03:44:16
iPhone,The camera quality on the iPhone is amazing.,2016-09-18 07:01:44
Samsung Galaxy,Why is my Samsung Galaxy overheating?,2016-09-15 17:07:48
iPhone,The camera on the iPhone is disappointing.,2016-07-24 21:06:47
iPhone,Really happy with the performance of my new iPhone.,2016-08-16 04:57:41
OnePlus,The camera on the OnePlus is disappointing.,2016-07-01 14:10:15
Xiaomi,The Xiaomi is a great value for the price.,2016-08-17 00:06:26
Google Pixel,Why is my Google Pixel overheating?,2016-09-13 13:58:59
Samsung Galaxy,Battery life on the Samsung Galaxy could be better.,2016-07-27 22:02:42
Samsung Galaxy,Really happy with the performance of my new Samsung Galaxy.,2016-08-09 16:07:16
Samsung Galaxy,The camera on the Samsung Galaxy is disappointing.,2016-08-02 10:48:20
Samsung Galaxy,Not too impressed with the Samsung Galaxy. Expected more.,2016-09-13 06:32:00
iPhone,Battery life on the iPhone is excellent.,2016-07-07 03:05:17
Xiaomi,Battery life on the Xiaomi could be better.,2016-07-16 15:13:35
iPhone,The iPhone keeps crashing. Frustrated!,2016-09-07 22:06:38
